iter	Passed	Remaining
775	29744	8586
776	29771	8544
777	29816	8508
778	29855	8469
779	29898	8432
780	29942	8396
781	29983	8358
782	30033	8323
783	30096	8291
784	30144	8256
785	30195	8221
786	30235	8183
787	30269	8143
788	30309	8105
789	30352	8068
790	30388	8029
791	30434	7992
792	30485	7957
793	30517	7917
794	30561	7880
795	30602	7842
796	30638	7803
797	30676	7765
798	30716	7727
799	30782	7695
800	30813	7655
801	30855	7617
802	30882	7576
803	30907	7534
804	30937	7494
805	30987	7458
806	31016	7417
807	31070	7383
808	31108	7344
809	31158	7308
810	31201	7271
811	31250	7235
812	31281	7195
813	31313	7155
814	31333	7112
815	31376	7075
816	31420	7037
817	31460	6999
818	31502	6962
819	31545	6924
820	31590	6887
821	31629	6849
822	31681	6813
823	31721	6775
824	31758	6736
825	31799	6698
826	31839	6660
827	31888	6624
828	31929	6586
829	31967	6547
830	32013	6510
831	32057	6473
832	32107	6436
833	32152	6399
834	32197	6362
835	32238	6324
836	32272	6284
837	32310	6246
838	32354	6208
839	32397	6170
840	32436	6132
841	32479	6094
842	32518	6056
843	32552	6016
844	32593	5978
845	32630	5939
846	32668	5901
847	32710	5863
848	32758	5826
849	32793	5787
850	32827	5747
851	32861	5708
852	32901	5669
853	32933	5630
854	32964	5590
855	32995	5550
856	33034	5512
857	33074	5473
858	33113	5435
859	33154	5397
860	33203	5360
861	33250	5323
862	33296	5285
863	33327	5245
864	33356	5205
865	33391	5166
866	33439	5129
867	33480	5091
868	33524	5053
869	33574	5016
870	33617	4978
871	33661	4941
872	33703	4902
873	33751	4865
874	33794	4827
875	33840	4790
876	33877	4751
877	33920	4713
878	33958	4674
879	33987	4634
880	34025	4595
881	34081	4559
882	34128	4522
883	34173	4484
884	34212	4445
885	34256	4407
886	34296	4369
887	34336	4330
888	34383	4293
889	34427	4255
890	34469	4216
891	34516	4179
892	34554	4140
893	34594	4101
894	34637	4063
895	34679	4025
896	34723	3987
897	34762	3948
898	34802	3909
899	34839	3871
900	34879	3832
901	34917	3793
902	34972	3756
903	35024	3719
904	35058	3680
905	35103	3642
906	35146	3603
907	35189	3565
908	35215	3525
909	35253	3486
910	35279	3446
911	35324	3408
912	35362	3369
913	35397	3330
914	35430	3291
915	35474	3253
916	35500	3213
917	35536	3174
918	35569	3135
919	35607	3096
920	35635	3056
921	35674	3018
922	35706	2978
923	35746	2940
924	35788	2901
925	35826	2863
926	35872	2824
927	35909	2786
928	35946	2747
929	35981	2708
930	36015	2669
931	36069	2631
932	36133	2594
933	36171	2555
934	36212	2517
935	36253	2478
936	36284	2439
937	36322	2400
938	36363	2362
939	36403	2323
940	36442	2284
941	36497	2247
942	36542	2208
943	36587	2170
944	36631	2132
945	36671	2093
946	36717	2054
947	36763	2016
948	36817	1978
949	36854	1939
950	36896	1901
951	36946	1862
952	36979	1823
953	37005	1784
954	37039	1745
955	37080	1706
956	37148	1669
957	37188	1630
958	37217	1591
959	37239	1551
960	37270	1512
961	37321	1474
962	37368	1435
963	37412	1397
964	37453	1358
965	37503	1320
966	37542	1281
967	37586	1242
968	37641	1204
969	37684	1165
970	37725	1126
971	37761	1087
972	37795	1048
973	37836	1010
974	37888	971
975	37935	932
976	37971	893
977	38014	855
978	38040	815
979	38091	777
980	38138	738
981	38182	699
982	38232	661
983	38267	622
984	38305	583
985	38349	544
986	38381	505
987	38420	466
988	38458	427
989	38501	388
990	38540	350
991	38600	311
992	38646	272
993	38688	233
994	38728	194
995	38775	155
996	38798	116
997	38832	77
998	38871	38
999	38922	0
